#Weight Bitstream
0.2 0001000011000000011010001011101100000010000101011101000100000101001000000111010000000000010010010000000110100100000100000110011010100100100010010001100111101110000100011100101101100010101010010010000000110000010001010000100001001101010000011101000101100010
0.55 0011011101100101110111110111111010110000001001111110101001000010110011111010001001101111011111110101011110010101001101100101100111010010110011110011010101111111110101110111111000110110011000011111000101111111110111011011001001011001100111011100111111100101
0.99 1111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.77 1010101110111111111010111111110111111110111110011111100111110111111010001110010110011010010011111010111100111111111111111110111111010100111110011011110011010111111111011110110110100111011111110111101110111110110010101000011111001011100111011001011110110111
0.89 1110100111111111111111111111111111111110110100111100011111010100111110110011111111111111111101111111111011111101100110111111111110000110111111110111101110101110011111111111111101110110111101111111101011111001011110101111011101011111111111111111100101101100
0.81 1111111101010111101111111111111010111110111111111101110111111111111110111111111111100111111111011111111111111011111101111111111101111111111111111110110101110111111110111111111111111111111111111111111111101111111110111111111111111110111011111111111111110111
0.39 1111101111001110011110100110001011010011100011011101101001101110110101001111101001100101000101101011110111000110100111001011001000010110110000111011111110111001001000101010011010001001101011111100011110101011000110101011111000110001110010111110111010001011
0.69 1001011110001110011000001001111100110101111000110001111101001000010010010010111110110111110110011011010111110110010110111001001110110111100100101100110011111101101000100000111111101010111001010100010110110001101111100100101110101101100010000101001100010001
0.43 1001111000000011000100001000101000100110100101000001001001000010000000110000001110111001100001000110001010100001010000110000100010001110100010110001101000000011000100100001100101100101110001001000010001110011100110100010000000011000101000001101010001000100
0.8 1111001111111001011011111111110111110110101100011111000110111010111111101111111111011000110101010011111100000111011011101111010111010011001011001011110011010100110111011111101101010111111111111011110010111110011000111001111011001110111001111111110000101111
0.9 1111111011111111111111111111111111111101111111110111111111101110111111111111111111011011111111110111111111111111110011111111111111101111111111110001110101101011111110111110101111101011111111111111111111101101101111010111110110111010110111111111001101101111
0.3 1000000000001000000000000010000000010010000000010000000100011100010100110010001110100000000100011000000010000010010000000000000000000000001000100000101100000000111011011000010000001010100000000000001000000010000010100000100100001010001000000000001000000111
0.1 0000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000010000
0.25 0001000000000001010001000001100010101010000000000010000000000000000010001000001101000000101010000000000010010000100000000100110000100000000100000000010100000000000100000011000000001000001100010100000001000000000000000000100001000000010000000001000000100001
0.6 0111001111100001001001001011110101111101011011101010110101010110111001111110111110101101111111111001000011110111110111111001111001101101101111111001001111101111110111111100111110111101011101011111100011110101011101101111111111101010100111011001111011111101
0.75 1111111001111111111111101000011101011111101110101111011110100111011110110111111011110010111001101110111111111111111111101111111011111101111111111111111111111011111110111111111111111111010101111111001110010100101111111111111001101111111110011111010111011111
