#Weight Bitstream
0.2 00000001011010000000001000000000
0.55 10011010111100101101000111111000
0.99 11111111111111111111111111111111
0.77 11111110101111111111111110011111
0.89 11111101011111111111111011111111
0.81 10101010011110111101101111111111
0.39 00010100000110111011000000000010
0.69 01110110111111111001101110111101
0.43 11001000000001011000100000100101
0.8 01110110100111000110111111110101
0.9 10111111111101111011111110111111
0.3 00101001000001001010000001010001
0.1 10000001001000000000010010000010
0.25 11100001000100010110000100010011
0.6 10111001101111100001011110101111
0.75 10111110101110010111011111010001
