#Weight Bitstream
0.2 00100000000010000000000001000100
0.55 01000100110010110111101001110110
0.99 11111111111111111111111111111111
0.77 10111011011111011101011111111101
0.89 01010110101001111101011011111010
0.81 11110111111101011101110111011111
0.39 00001000000100111100000011100000
0.69 11111111011111111110111010101111
0.43 11101000010011100010101101000101
0.8 11101110011110101111011101110111
0.9 11111011111110101110011111111110
0.3 00000000100100000000000000110000
0.1 00000000000000000000001000000000
0.25 00101100000001110100001101010001
0.6 11110010100110111010110001101101
0.75 11111000111001110011011111110110
