#Weight Bitstream
0.2 0001000000000000101000000011010000100010110000000000001001000000001000000000000010000001111000010010111001100000111001000010001100000001000000001000100001010000000000000010000100110100001100000000000010001000001000000101000001010010100011100001000000000001
0.55 1111111110101011111101010111110110010010110111101010010101100100111011100100001111100010110011110000110101011111011101011001111100001011101101011110101010010000010100110010001001110111101011011111010101110110001110110000001000111110010101001100100101010100
0.99 1111111111111111111111111111111111111111111011111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111
0.77 1111111111111011101111111111101100001010110001011110101101111111110000001100110111101111101111101011001101111101011110101111011110111110110011011001111110111111111111011110101101100011001110110011110111111101110111011011111111101111111101111100111101011101
0.89 1111111111111111111111110111101111110111111111111111111111111111111101111111111111111101111111111111111111011110111111111101111111111110101111111111111111111101011110111011111110001111110111011011101101111111101101111111110011111111111011111111111101111111
0.81 0011100110111110111110111111101111111101011111011111110111011101011111111110111101010111111111011100111011111101011111111111111111101001011001100011110111111110111111011111110111111101111110101011011101111100111110111101111101010110110111110110111111101111
0.39 1111000110010000100111101011010000011110001000010100001000001000100011010101001001011011001000001101000000000011010000001010011111110000100000101000110011000000100000000001010010100100011101010000001101000011011100111011100101000101011001100000101111011110
0.69 1001101100001011110111101111101100010111101010001111110010001101110011000111110011101111101001111110011111101101110001011111111000111101111011111000101110011011011110010100111111110110110101001111101111111111111010110101110110011111110111010011011111111111
0.43 0000010100100101101001011101010100111010000011100001000100100011001111101001010010000000011110111010001001100110111001000100011111000011000011001011101010010101010101100010110010010010011000111000010001101011010101111001010011001010010000000011110000000000
0.8 0111111110111110101110011010111111101101101111111110011111111111011111101111111011011111111111110110111111111110101111101111011101110110011111110111111101111110101011101111001111111011111111011111110101111111111111101111111100111111111111111111111110110011
0.9 1101111111111111111111111111111111111110110100001111111111111111011111111111111111111111111111011111111111111111110111111011111111111111111011111111101111111111111111111111111011111111111111111111111101111111111111111111111111111111111101111111101111111111
0.3 1011000001010001001000000010000101010101010010001100101011000000010000101000010000010100010000110010001100000101010011110010000000011000000010000000010000100110011100000001001000101000000010111110100101100101000000100000000010000010100100100000000001001101
0.1 0000000001100001000000000100000000000000000000000000010000110000010000000000000000000000000010000000000000000000001010000100000000000000010010000000000000000000000000100000110000000000001000100001000000000001000010001000100000100000000000000000001010000000
0.25 1001110000000000100000000101000100100000000001100000000001100000000010000001101100000000000000100000001001000001011100000110001000001000010100000010000000111101000000000010000000000010001101000010001000000000001001010000000000101001000000000000101010000000
0.6 0111101100000011101111110110011010111001100111101011010101011111001110010011110011110100010011110000110000111110101001110010010000111110111110111111100100010001111111111111111011001011111001110111011100111111110101011111011111101111110101110011110111110110
0.75 1111111111011111100111001100101111111111011111011101001101111110110110110111001011111111111000011111101011011111111111011010111011101111101111011011111110111101101101011011100111100101111000101111111011000111111111010011111110111111101111011110111011111011
