#Weight Bitstream
0.2 01000110000010110001000100001010000000011000010100000000100000001000100000010100010000100000010110000100000000001000000000001001
0.55 11100000101100010000110111110101011111101010110011000000111000101111111111011001101000011110111011011111111011011001010110101100
0.99 11111111111111111101111111111111111111111100111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.77 11110100101110101001111111100000111110101111111111001111011101111111111101011110101111111111110011111110101111101001111110101011
0.89 11111111011011100101111111111111111011110111011111011111111110001101011111011111111111111111001111111111111110111011111101111111
0.81 01111110011101101111011110111001111010011111111011111111110011110110111010101101110110101101111110111101111110011111111111111101
0.39 00100010010001000100010001010000110111010010110001000001100100011100011100101000000011111100011111100101001000010000100001000000
0.69 00111011011111001111100111010111011101011111011111011111101110110001101110100001101111101111110101101111110110110101000111000111
0.43 10001110000011001000001110100001001111111111000001000010111101110001100100101000011010001011001000010101000010010011101010110010
0.8 00111110110111001011111101101101111110111101111011110111101111111101111111111111011101111111110101111101111111100111001110010101
0.9 11111111110111111111111110111111101111101111111111011111110111111111011111111111111111111111111111111111111111110111011111011111
0.3 10000010100101000010000101010110000000100000010010000101000100110110000010010000110000101010000100011001000000000100001111000100
0.1 00000000000000000000000000000000000001000000000100011000000000100000110000001001000000000000100000000000000000000000000000000000
0.25 00000010001000000100010000000101100100001001010000000100000001000000111100001000010010100101010101110000000101001101011011000000
0.6 10001100110101111101001111100110010111001011001100110011111110101101000011110100010100111111101001110011001010111100011111111000
0.75 11110100011111111111011111100011101011111111111111111111111110110110111110001110111111100010111110111011111010010111110111011011
