#Weight Bitstream
0.2 00000000000010000101100000000000000000000100100010010001000111000010000000000000000000110100000000000000000010000001001001101000
0.55 00111001011011011011011001000110001011111111111001001101100100111111011101110110011010110000100111101100010110001001111111010111
0.99 11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.77 11011111110100110111111101110111101011111011101101100111110110101111101110111101111111101100111001110111111100110101110011111111
0.89 11111111110111111111111011000101111101111011111111111111111101001111111111111111111111111111110110111111111111111110111110111111
0.81 01100011111101111111111111111111101101110111011110100011111111110101111110111111011110111111011111101110111111111101111110111111
0.39 10011100001000010111000000100101100011110010010001001010100011100001001000000000100010010010010101001001000000000100001000100000
0.69 00111110111011101110111101111111011101000010000001101111111011011111111000011111110110111111111111101111110101001111111111111011
0.43 01100001001001101001010010001000001110100111000000101010000000110110000111000000010101000100101000110001001100010000111110011100
0.8 11111111111011111010111111110001111111111111010101111111011101110110111100110111100011111110111011101010011101111111111111111111
0.9 11111111111111100011111111111111111010011110111101111111111110011111111111111111111101111111111111110111011111110111111111101100
0.3 11100000000000101000001001000010000001110100000111000100000001000010111001000000000000000001010000000010000100001000001000000001
0.1 00000000100000100000000000100000000100000000000010000000000000000000000000000010100100000010001001000100000001000100000000000000
0.25 01000001100000010001010110100000001100000011000001001000000101000000011101000000110000000011000010001100010010000000000011000011
0.6 01001111001011011111010100001011011111110111001101111011001110101110101011101111000111111111011000011111100010011001110100011110
0.75 11111001111110111011101111101110101111101110110110101111111101110101010111110111101000111101000011100011111011000101110111110010
