#Weight Bitstream
0.2 1100000101000100010110101000000011001010101101001100110100010100000010111000100110100011100000000101100000000001000000000001010001110000111001001001100000011000000101010111100100111100000110001001011101010011110101111000001000001100110100000100000101000100
0.55 0011010000100000011001110100111001000010010111000100100110001100010010111000000101110010000111000101010000110000110110100001000110010010000011001000100110010100001110010001001111011001011011001110000110101001000110111010100000100110110010000001011001100010
0.99 1111101111111110111111111111110111111111011101111101111110100010111110111101110111110101111111101110111010111111101111111111111111111111111011110111111111011010111110111111111111001111111111111111111111111111010111011111011111110111011111111111111111111111
0.77 1111111111110111101111011011111111111111111111011111011111111111111111111010111101111111111111111111101011111111111111111111111111110111111111111111111111101111111111101111011111111111111010001111111110101111111111011110111111101111011011111111011111111110
0.89 1111011111101111111111111111111101111111111111111111101111111111011111111011111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111101011111111111111111111111111011111111101111111111111111111101111111111011111111111110111
0.81 1110111111000010010100101111100111011111111111111100011110011011000111000110011101111100110111111011111111001101001111011111000110011100011000100111001001100110011110100011010010110111111111111101101011001101010110111101111100010011111110111101111010101111
0.39 0001010111100110000110111000101010001011011000111011110110011101111110011111111100010101001001011001100100001010010101101101111100000101010100010000000001010111111110101110001001001101001110101001110001000110100101000111101101101000011101101000111111000111
0.69 0110000010111111010110110101001100001000111110011000001100010111001111011110111011111000000011111010100110100010111001111101001010110011101111011001100100011110111110111110011010100011101101010010011110111001001100000011000000001100000101000101011110000001
0.43 1110110011001110001111100101010111101111111010111100011010100010011011000101110000101110000100010010010011110101011111000000101001110011110001100111001101010011101101110000010101001111110001100001011101011101101100001001110011110110011111111110010011011111
0.8 1101110111101100111001011110110111001010011010110010110110011011011010010101101111111110100001110110001010011100110011011111111010000111100111001110111101011110100111001011011001101111010011001110001010110100000110010001111111110110011101001100001001001000
0.9 0111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111110111111111111111111111111111111111110
0.3 0000100011010001110000110000111110000000000110011110001101000001001000010000001001110001101010111100111000100010010011011000001111110111010101110111100010011000011110000001110010010100011100000000100100111100101110111110101010100110110001011101111011010010
0.1 0010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000
0.25 0100001101100101110001010111011000010000000101100000010110111110010110011101110100010000101011001010001100100001110011100000100100101101011100010100010011000110011000011111000110101010001101011001110100000110000010000001110110100110110000011010000010010110
0.6 0000100001010110001001011000011101111100101101000111001000110111011011100010010001011010010010000100011101001000100001110111011110111011000111111100001011000110100001010111000101111010101010110110000100111110000001000011101000110101101111010010000100110110
0.75 1111111101111111111011111111111111111111110111101101111111111111111111111110111110111101111111110111111111111111111111101110101111111111010111101100011111111110111101111001111110011111110101101111111101111111111101111111111111111011011111110010111111111101
