#Weight Bitstream
0.2 0100001000000000000000000000000000010100000000000000000000000000
0.55 0011101101001001111111111011100110111110100111111011011111100111
0.99 1111111111111111111111111111111111111111111111111111111111111111
0.77 1000011011011001111101001001110110110111101100100101011111011111
0.89 1111111111111111111111111111110111101111111111111111111111011111
0.81 1111111111111111111111111111111111111110011111111111111111111011
0.39 1000111011101101100101111001111100100011110100110010011000010100
0.69 0000010110101100110010110001000001111011100010101110111010001010
0.43 0010110011100110101111000010111100101001000000000000000000000000
0.8 1111111001111111111111111111101010111101111111111111111111111111
0.9 1111101000111110111011011110010111011111111110101101010010110111
0.3 0001000000110100000000101000010000000000000000000000000110100000
0.1 0001001000010001000000100011011000100000010010001001010000010000
0.25 0000111001000100001111100101010111000010100010010000001100100010
0.6 0011110110111011111111111111100111110111001111100111110100111111
0.75 1111111011111011111111111111111111111111111111011111101111101111
