#Weight Bitstream
0.2 0000000001001001100100000000111000000000001000101101000011000001011000101001000000000001000001000000000010100000010000100000000000100000000000001000000000010010000000100000000000000000100000000010000010101001000110001100000000000010000001000100100100001000
0.55 1111111010011111000111100001011011011110100011101010000100101011011111010011100001100000111101011100111111011101011110110101101100101010101110001000010000101010101101100111110001100000110110111010001101100010100000101101011011001100111101000111101110100111
0.99 1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.77 1110001111111110101100111110111001111101011111111111111111001111111111111111101111111111110111011010011110011011110111001011111101111101010111011111111111110011001101000101111101111111111010110111111111000100111011111111111111011101111011011111001001111111
0.89 1011111101111110111100101111111011111111111101111101111111011101111100110111111111111101111111111111111100110111111111111111111111111111111111011111011111111101111111111111010111111111101111111111111110111111111111111111111111111011111111011111111110111111
0.81 1111111011111111101111111111111010111101111111111111110111101111101111111010111111111101111110101111011101011011111011011101111010011111111111110111110101101101010111110111111111111111101101110010101111111111111111111111111111000110111111111001111011111111
0.39 0110101000100100010000110100000010001000000110010110011100011100001110011010111110101000011110100000001101000000001011000110110001001000011100000000111001101001100010000010110000100100101101110000101100011100001000010001000000101100001010100000100100001011
0.69 1110111100011001001011110110110011011011111011011111111110010111010111101101101010110110000011111001111111110111111111110111001001110110111111011101111111110101111000100110010001000111101011111101111101110101111111101101110101011111111111111111110110101101
0.43 0000010110000111110011000110001001100100001000011111110001011110100011000111000001101000100000100110110000010010010101110001001000100001111011000000010000010001010000000010001110000010010100001100101000111100100110010000011010010110100011000100001011000110
0.8 1110111011111011011111100111111101111111111110101111111110101011111101101011111111011010111011111101111111011111111011111111111111111001110111011110111111100111101011111011111101111111001010111111111111101111111111101110111101111110011111110111110111111111
0.9 1111111111111101110011111101111101111111111111111011101111111101111111011111111101111110111100101111111111111111110111011111110111111111111111111111111111111111111110110110111111111111011111111011101111111110011011111111010111011111111111111111111111011001
0.3 0001010100100001001000000001001101000000000101000100101001000001000011001111010101001110000100000001001010000000101101001000000011000010101000000000010000000001010010100100010100000000000010000000000000100110010100000000110000000100000001000010110100000100
0.1 0000000100000100000110001000000001100000000000000001000000100110100000000001000000011000000001000000110000010000001000001000100000010000000000000000000000000000000000000010001000000000000000000000000000000000000000100100000000000000000000000000000000001000
0.25 0001000010000110010000000000110100100000010100001100001010100000000100001010000001000100000000000000000000100000001000100010000001110000000000100100000110100100100011011000001110001000000000000001011000000011111100011001000000010101110011001000100100000000
0.6 1100001011010010110001111101111011100010100000100111111001011100101111101101010011111101010111111101110101110110011101100111011111010111101110110110011010111100111010100001110001101011101101101000010110101100010010101001111000100111101111101100001000010100
0.75 1111111010111111001001111100101101011011111111111111010101001011001001101111110111111111111000101111111111011111100111111111111111001111110101101010101011000101100111110011110101110111111111111100110110101110001011101110111001111111110111111011100111110111
