#Weight Bitstream
0.2 0000000000001000010110000000000000000000010010001001000100011100
0.55 1011011100011011111101111001100111010011001010111011011100011001
0.99 1111111111111111111111111111111111111111111111111111111111111111
0.77 1011111101100111111111111010111111111111111111100111010111111101
0.89 1111011111111101011111111110111111111111110101111111101111111111
0.81 1111011110111101100111111111111100101110111111110111111111111111
0.39 0000011101000000010010100111011100000111000000010100111110000010
0.69 1111111110100111101111111011001111111111111101100110111111110110
0.43 0010011011110110100001010001001001111010111010111100111000101000
0.8 1011001111111011110100001101111111011010100111111111110111001111
0.9 0111111111111111011101110111111111111110110111111001111010111111
0.3 0011010100001000010001000000000110100000100010110100000000001101
0.1 0010000000000100100000100000000010011110010000001010001000000000
0.25 0000011010000000100000000000000000010010011000000000000001000010
0.6 0110000111011110110000110001010000001001011001101010110010101011
0.75 1101111111111100111000010101110110111111111111111011111011110100
