#Weight Bitstream
0.2 00110010100000000001101100110101
0.55 10110100000101001010011011001100
0.99 10111111111011111101111111110111
0.77 01111111111111111111111111111111
0.89 11010111010111101111101110110111
0.81 11111111111111111111010111111111
0.39 00100000011100000101000010100101
0.69 11001100010100100011001110001000
0.43 01010110011101100100101010000111
0.8 11111001111101001100100011110111
0.9 11111111110011111111111111111111
0.3 01010000001010010001011101111111
0.1 10110000000000010000100001000000
0.25 01000000000000000010000000100000
0.6 00011101111101110110110111111101
0.75 11011111111111110101111010011111
