#Weight Bitstream
0.2 00000001110010010011110100111101000000000001010011000000000000000010100010110000000000100000100000000101000010000001000000110110
0.55 11101101101010010010100010010010000100000111001000111111001011110111000000100111000101110010000110000110100111110110001100100011
0.99 11111111111101111111111111111101111111111110111111111011111111111111111111111111111111111111111111111111111111111111111111111111
0.77 11110110111111101111111111111011011011111111111101111111111100111111010111111111111011111110111111111111010101111101111111110110
0.89 11111000111110011111111101011101111011111011011110100110111111111011111111111011100110111111110111111111111111101100111010111111
0.81 11111111111101011111001111111111001011111101111111111101111101000111011111001001111110111111111111110111111101101110111111111101
0.39 00101001001010010111100001101100010011001101101100100000111111110000011000001010100111001011100111110000001001111111000010110010
0.69 11111011000100110111100010000000011111111111011001111001010110010110101011101111011101111000101110010001111001010110011110001110
0.43 11010101010110110110101111100100101101011100011011001110101011111010111111011101010001011111111110100111101101001001010001011010
0.8 01111011111111111011011111111111110111110111011111111111010111111111111110011111101001111111111111101111111111111111101111011111
0.9 11111111111111111111101111111111111101111111011111111111111111111101111110111110111111111111111111111110111110111111111111111111
0.3 00100001010000000000000101000000000000000001000110100000000000000001000001000011000000000010000000001000100010100010100010000001
0.1 00001001000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000100000000000000
0.25 00100000001011000001010100011100111100111110001000000100110010001001000000100000100001011010000010100000100000100001000010011110
0.6 11111110101111011111001011101111010111011110010111101010011111110010111111101110110011111000111011111011111001011101111110111010
0.75 01111101101100111111111011111111111101011111011111111110110101111111111111111111111111110111111110111111111111011010110111111111
